J1,J2,J3,J4,J5,J6,A1,A2,A3,A4,A5,A6,C,R
5,1,2,2,8,2,1,0,8,7,6,6,C6,G
6,6,1,6,5,0,0,0,0,8,7,7,C3,G
1,3,3,0,0,2,19,0,1,0,0,0,C2,G
7,6,0,6,1,2,7,7,7,5,0,0,C5,G
6,2,4,0,0,4,0,0,3,1,3,0,C6,G
4,4,0,5,5,1,0,7,6,6,5,5,C4,G
1,2,4,0,3,0,6,2,0,1,1,1,C3,P
0,1,0,5,1,9,8,1,7,7,1,0,C6,P
10,3,9,0,3,0,0,0,0,3,2,1,C3,G
4,4,4,4,4,4,4,4,4,4,4,4,C2,P
6,6,6,5,5,0,5,5,5,5,0,0,C2,G
0,0,0,0,1,10,2,0,5,10,1,3,C5,P
8,8,8,0,1,1,8,0,2,7,1,4,C6,P
2,4,4,9,4,1,1,1,1,1,0,10,C5,G
5,5,5,5,4,4,4,4,4,4,4,0,C6,P
19,1,0,0,1,0,0,3,3,1,0,1,C5,P
8,2,1,7,7,2,7,7,0,2,1,2,C5,G
0,11,7,6,5,5,4,0,1,1,7,1,C2,P
1,1,1,1,1,2,2,3,1,0,5,6,C1,P
13,2,4,0,0,0,12,0,3,0,0,0,C3,G
11,0,6,1,1,1,1,1,1,0,2,1,C1,G
1,6,6,2,6,6,5,0,5,5,5,1,C5,P
11,10,10,0,1,0,9,0,2,0,0,1,C5,P
8,8,1,9,1,2,7,7,0,0,2,3,C5,G
0,0,0,0,1,0,1,2,0,12,3,5,C5,P
9,0,2,0,2,0,10,10,10,0,1,0,C5,G
0,0,3,1,3,4,5,1,3,1,0,4,C6,P
0,0,0,8,7,7,6,6,0,7,5,0,C4,P
4,4,4,4,4,4,0,5,5,5,5,4,C6,G
17,0,2,2,1,0,1,0,2,2,2,0,C3,G
1,1,1,10,8,1,7,6,1,0,7,1,C5,P
7,7,7,5,0,0,7,6,0,6,0,3,C4,P
8,7,2,1,8,2,2,1,1,10,0,2,C2,G
0,0,0,0,0,1,20,1,0,1,1,1,C6,P
10,3,9,8,2,0,0,2,1,0,2,1,C4,G
1,0,4,0,1,3,19,0,0,0,0,1,C1,G
19,0,1,0,0,0,1,0,4,1,1,2,C3,P
5,5,5,5,4,4,4,4,4,4,4,0,C1,P
7,1,8,6,6,1,6,6,5,0,1,1,C3,G
1,6,6,6,5,5,4,4,0,5,5,1,C2,P
5,5,5,5,4,4,4,4,4,4,4,0,C1,P
2,2,1,1,1,3,0,2,5,4,11,5,C6,P
7,6,0,8,6,0,0,1,7,1,7,1,C4,G
9,3,2,8,0,3,8,0,2,1,1,1,C4,G
2,1,1,1,1,10,8,8,1,10,0,3,C6,P
13,1,2,2,2,2,3,5,3,1,9,0,C3,P
12,2,4,0,3,0,10,2,3,0,1,0,C5,G
1,2,2,0,1,2,17,13,0,0,0,0,C5,G
1,0,4,1,0,3,19,0,0,0,1,0,C4,G
7,7,7,5,0,1,6,6,0,6,1,2,C3,P
0,0,3,8,7,7,6,5,0,5,5,0,C6,P
0,3,3,1,0,1,19,1,0,0,0,1,C4,G
6,6,5,5,0,0,6,0,7,6,6,1,C4,P
6,6,6,5,0,1,6,6,6,5,0,1,C3,G
14,11,1,0,0,0,0,2,2,3,3,2,C3,P
1,1,11,9,7,7,6,2,0,3,0,1,C1,P
1,1,2,1,1,1,10,10,5,0,0,3,C6,P
7,6,1,6,6,1,1,0,3,8,7,0,C6,G
0,3,11,9,7,7,6,0,1,4,0,0,C2,P
1,6,2,7,6,6,5,4,0,5,5,1,C2,P
13,2,0,1,1,1,13,0,0,1,1,1,C6,G
0,2,9,7,6,6,5,1,0,3,9,0,C2,P
0,2,1,5,1,0,9,2,8,8,2,0,C4,P
8,8,3,2,8,1,1,0,0,0,0,8,C6,G
0,0,7,7,6,5,5,5,0,5,5,1,C3,P
0,6,6,2,0,7,6,1,6,6,6,0,C2,P
5,5,5,5,4,0,5,1,6,0,6,6,C3,G
9,1,0,0,0,0,9,3,2,0,1,4,C1,P
8,1,7,7,1,1,1,1,0,5,1,9,C6,G
0,3,3,1,1,0,19,1,0,0,1,0,C5,G
20,1,1,0,1,1,0,0,0,0,0,1,C3,G
5,5,5,5,4,4,4,4,4,4,4,0,C6,P
1,2,8,2,8,0,7,6,0,0,7,1,C3,P
13,0,3,0,0,0,13,2,0,1,1,1,C3,P
8,1,0,0,0,5,10,0,2,11,1,4,C2,P
2,1,8,7,6,6,5,1,2,2,8,0,C1,P
1,0,2,2,2,0,17,0,0,3,2,0,C3,P
9,9,4,0,10,2,0,0,1,0,0,0,C5,G
2,3,3,1,1,4,18,0,2,2,1,1,C6,G
17,13,0,0,0,1,0,2,2,0,1,2,C6,P
8,0,1,0,0,5,10,0,2,11,0,5,C6,P
15,0,0,1,0,0,15,2,0,0,1,0,C4,P
18,1,0,3,0,1,0,0,0,3,0,1,C2,G
14,2,0,1,0,1,14,0,0,1,0,1,C6,G
0,0,0,1,1,0,11,10,5,0,0,0,C5,P
9,8,1,9,0,3,7,7,0,0,0,4,C3,G
1,0,0,0,1,2,19,0,1,3,0,0,C6,P
1,1,4,0,1,3,19,0,0,0,0,0,C5,G
17,13,0,0,0,0,1,2,2,0,0,3,C2,P
1,2,0,12,3,5,0,0,0,0,0,1,C4,G
